Date,Host,Service,Message
"2024-10-14T02:32:14.993Z","""sc-03-prod-southeastasia-9eebd485-cast000000-sc-03-prod-southeastasia""","""df-service""","REST Error Response - Payload : ""{\""status\"":\""FAILURE\"",\""statusCode\"":400,\""transactionId\"":\""670c82ac08c862354e8a0e76\"",\""responseId\"":\""CSDMDSa19673345840445090a6b90650c8ff0c\"",\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""internalErrorMessage\"":\""No group level item rules for groupLevelId:1000000003 were found in the CDM.\"",\""duration\"":24,\""responseTime\"":\""10-14-2024 02:32:14+0000\"",\""errorDetail\"":{\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""errorInfos\"":[]}}"""
"2024-10-14T02:32:14.406Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000001""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:32:14.341Z","""sc-03-prod-southeastasia-9e33d8cb-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000008 were found in the CDM., status=ERROR}"
"2024-10-14T02:32:13.819Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000000""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:32:12.458Z","""sc-03-prod-southeastasia-13e68de0-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000003 were found in the CDM., status=ERROR}"
"2024-10-14T02:32:12.231Z","""sc-03-prod-southeastasia-b0c4bd56-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=Error while calling Security CatalogFor dataset id 134265 dataViewId OrderId_5929 not found or not entitled to, status=ERROR}"
"2024-10-14T02:32:10.705Z","""sc-03-prod-southeastasia-9e33d8cb-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=Dataset rule configured as DENY for dataset 134265 for user: connected.report_builder@nielseniq.com, status=ERROR}"
"2024-10-14T02:32:09.900Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000001""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:32:06.136Z","""sc-03-prod-southeastasia-d28f1b19-cast000000-sc-03-prod-southeastasia""","""df-service""","ErrorInfos: [ PRDC, CSTM_19296 ]Error Code: 3044Exception Message:SQLInfo not found for dataitem Id: CSTM_19296 and dimension: PRDC"
"2024-10-14T02:32:05.757Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000003""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:32:05.548Z","""sc-03-prod-eastus2-bdd8f89f-cast000000-sc-03-prod-eastus2""","""df-service""","ErrorInfos: [ Markets, Not able to resolve the FilterValues for the filter objectRefId : 2021 with the dataitem: 10007, dataItem Label:Drug Retailers, prompt: Markets, Drug Retailers ]Error Code: 3001Exception Message:Not able to resolve the FilterValues for the filter objectRefId : 2021 with the dataitem: 10007, dataItem Label:Drug Retailers, prompt: Markets"
"2024-10-14T02:32:03.731Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000002""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:32:02.587Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000003""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:32:02.167Z","""sc-03-prod-eastus2-15bb3d71-cast000000-sc-03-prod-eastus2""","""df-service""","ErrorInfos: [ Markets, Not able to resolve the FilterValues for the filter objectRefId : 2021 with the dataitem: 10007, dataItem Label:Drug Retailers, prompt: Markets, Drug Retailers ]Error Code: 3001Exception Message:Not able to resolve the FilterValues for the filter objectRefId : 2021 with the dataitem: 10007, dataItem Label:Drug Retailers, prompt: Markets"
"2024-10-14T02:32:01.163Z","""sc-03-prod-southeastasia-b0e71aa8-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000002 were found in the CDM., status=ERROR}"
"2024-10-14T02:32:01.162Z","""sc-03-prod-southeastasia-d28f1b19-cast000000-sc-03-prod-southeastasia""","""df-service""","REST Error Response - Payload : ""{\""status\"":\""FAILURE\"",\""statusCode\"":400,\""transactionId\"":\""670c829e08c862354e8a0e65\"",\""responseId\"":\""CSDMDS54d35512906f4dabb6ccf1a5407f0600\"",\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""internalErrorMessage\"":\""No group level item rules for groupLevelId:1000000002 were found in the CDM.\"",\""duration\"":24,\""responseTime\"":\""10-14-2024 02:32:01+0000\"",\""errorDetail\"":{\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""errorInfos\"":[]}}"""
"2024-10-14T02:32:00.958Z","""sc-03-prod-eastus2-a99b953a-cast000000-sc-03-prod-eastus2""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000658318 were found in the CDM., status=ERROR}"
"2024-10-14T02:32:00.018Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000000""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:58.810Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000000""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:57.909Z","""sc-03-prod-southeastasia-9e33d8cb-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000002 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:56.122Z","""sc-03-prod-southeastasia-b0e71aa8-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000003 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:56.115Z","""sc-03-prod-southeastasia-272672f0-cast000000-sc-03-prod-southeastasia""","""df-service""","REST Error Response - Payload : ""{\""status\"":\""FAILURE\"",\""statusCode\"":400,\""transactionId\"":\""670c829b08c862354e8a0e62\"",\""responseId\"":\""CSDMDScbe3946a10c341d787e524f2ca0e31c6\"",\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""internalErrorMessage\"":\""No group level item rules for groupLevelId:1000000003 were found in the CDM.\"",\""duration\"":28,\""responseTime\"":\""10-14-2024 02:31:56+0000\"",\""errorDetail\"":{\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""errorInfos\"":[]}}"""
"2024-10-14T02:31:55.350Z","""sc-03-prod-southeastasia-9908064d-cast000000-sc-03-prod-southeastasia""","""df-service""","REST Error Response - Payload : ""{\""status\"":\""FAILURE\"",\""statusCode\"":400,\""transactionId\"":\""670c829a08c862354e8a0e61\"",\""responseId\"":\""CSDMDSb1feceb056f64ef5a82521a8af5b24d1\"",\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""internalErrorMessage\"":\""No group level item rules for groupLevelId:1000000008 were found in the CDM.\"",\""duration\"":23,\""responseTime\"":\""10-14-2024 02:31:55+0000\"",\""errorDetail\"":{\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""errorInfos\"":[]}}"""
"2024-10-14T02:31:55.349Z","""sc-03-prod-southeastasia-b0c4bd56-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000008 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:55.178Z","""sc-03-prod-southeastasia-9e33d8cb-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000003 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:54.960Z","""sc-03-prod-southeastasia-9908064d-cast000000-sc-03-prod-southeastasia""","""df-service""","REST Error Response - Payload : ""{\""status\"":\""FAILURE\"",\""statusCode\"":400,\""transactionId\"":\""670c829a08c862354e8a0e60\"",\""responseId\"":\""CSDMDSf15f0e5e125049888f5fa2287349917b\"",\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""internalErrorMessage\"":\""No group level item rules for groupLevelId:1000000008 were found in the CDM.\"",\""duration\"":28,\""responseTime\"":\""10-14-2024 02:31:54+0000\"",\""errorDetail\"":{\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""errorInfos\"":[]}}"""
"2024-10-14T02:31:54.958Z","""sc-03-prod-southeastasia-b0e71aa8-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000008 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:54.886Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000001""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:54.789Z","""sc-03-prod-southeastasia-9e33d8cb-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000008 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:54.617Z","""sc-03-prod-southeastasia-b0c4bd56-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000008 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:54.608Z","""sc-03-prod-southeastasia-272672f0-cast000000-sc-03-prod-southeastasia""","""df-service""","REST Error Response - Payload : ""{\""status\"":\""FAILURE\"",\""statusCode\"":400,\""transactionId\"":\""670c829a08c862354e8a0e5f\"",\""responseId\"":\""CSDMDS823e8a30300a40a391c8620fae535f11\"",\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""internalErrorMessage\"":\""No group level item rules for groupLevelId:1000000008 were found in the CDM.\"",\""duration\"":26,\""responseTime\"":\""10-14-2024 02:31:54+0000\"",\""errorDetail\"":{\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""errorInfos\"":[]}}"""
"2024-10-14T02:31:54.405Z","""sc-03-prod-southeastasia-b0e71aa8-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000008 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:53.978Z","""sc-03-prod-southeastasia-13e68de0-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000008 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:53.578Z","""sc-03-prod-southeastasia-b0c4bd56-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000008 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:53.575Z","""sc-03-prod-southeastasia-9eebd485-cast000000-sc-03-prod-southeastasia""","""df-service""","REST Error Response - Payload : ""{\""status\"":\""FAILURE\"",\""statusCode\"":400,\""transactionId\"":\""670c829808c862354e8a0e5e\"",\""responseId\"":\""CSDMDScc19fd11806248b8b5827a35bda86399\"",\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""internalErrorMessage\"":\""No group level item rules for groupLevelId:1000000008 were found in the CDM.\"",\""duration\"":26,\""responseTime\"":\""10-14-2024 02:31:53+0000\"",\""errorDetail\"":{\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""errorInfos\"":[]}}"""
"2024-10-14T02:31:51.598Z","""sc-03-prod-southeastasia-9e33d8cb-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000008 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:50.740Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000003""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:48.725Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000002""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:46.757Z","""sc-03-prod-southeastasia-9908064d-cast000000-sc-03-prod-southeastasia""","""df-service""","ErrorInfos: [ Periods, Not able to resolve the FilterValues for the filter objectRefId : 2001 with the dataitem: 1000034575, dataItem Label:Years, prompt: Periods, Years ]Error Code: 3001Exception Message:Not able to resolve the FilterValues for the filter objectRefId : 2001 with the dataitem: 1000034575, dataItem Label:Years, prompt: Periods"
"2024-10-14T02:31:43.801Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000000""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:41.509Z","""sc-03-prod-southeastasia-b0c4bd56-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000505687 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:40.421Z","""sc-03-prod-southeastasia-9eebd485-cast000000-sc-03-prod-southeastasia""","""df-service""","ErrorInfos: [ Periods, Not able to resolve the FilterValues for the filter objectRefId : 2001 with the dataitem: 1000034575, dataItem Label:Years, prompt: Periods, Years ]Error Code: 3001Exception Message:Not able to resolve the FilterValues for the filter objectRefId : 2001 with the dataitem: 1000034575, dataItem Label:Years, prompt: Periods"
"2024-10-14T02:31:39.880Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000001""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:39.208Z","""dmds-23-7-2-12-perf-vmss-us-eastus2000002""","""dmds-service""","[dd.trace 2024-10-14 02:31:38:348 +0000] [dd-trace-processor] WARN datadog.trace.agent.common.writer.ddagent.DDAgentApi - Error while sending 1 (size=1KB) traces. Total: 282213, Received: 282213, Sent: 0, Failed: 282213. java.net.ConnectException: Failed to connect to datadog-agent/172.18.0.2:8126 (Will not log warnings for 5 minutes)"
"2024-10-14T02:31:39.162Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000003""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:35.735Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000003""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:33.725Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000002""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:32.401Z","""df-23-7-2-12-uat-vmss-us-eastus2000000""","""df-service""","[dd.trace 2024-10-14 02:31:31:513 +0000] [dd-trace-processor] WARN datadog.trace.agent.common.writer.ddagent.DDAgentApi - Error while sending 1 (size=1KB) traces. Total: 73135, Received: 73135, Sent: 0, Failed: 73135. java.net.ConnectException: Failed to connect to datadog-agent/172.18.0.2:8126 (Will not log warnings for 5 minutes)"
"2024-10-14T02:31:30.329Z","""sc-03-prod-southeastasia-9908064d-cast000000-sc-03-prod-southeastasia""","""df-service""","REST Error Response - Payload : ""{\""status\"":\""FAILURE\"",\""statusCode\"":400,\""transactionId\"":\""EE0D3E7B49E544C69D2043DA108C097D-PRD\"",\""responseId\"":\""CSDMDS2b5d594afc614522a74eea210372d38a\"",\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""internalErrorMessage\"":\""No group level item rules for groupLevelId:1000459400 were found in the CDM.\"",\""duration\"":31,\""responseTime\"":\""10-14-2024 02:31:30+0000\"",\""errorDetail\"":{\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""errorInfos\"":[]}}"""
"2024-10-14T02:31:30.323Z","""sc-03-prod-southeastasia-13e68de0-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000459400 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:28.786Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000000""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:26.403Z","""sc-03-prod-southeastasia-b0e71aa8-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000002 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:26.395Z","""sc-03-prod-southeastasia-272672f0-cast000000-sc-03-prod-southeastasia""","""df-service""","REST Error Response - Payload : ""{\""status\"":\""FAILURE\"",\""statusCode\"":400,\""transactionId\"":\""670c827d08c862354e8a0e50\"",\""responseId\"":\""CSDMDS263e9873d6dd43ce841e1a8380b9246a\"",\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""internalErrorMessage\"":\""No group level item rules for groupLevelId:1000000002 were found in the CDM.\"",\""duration\"":26,\""responseTime\"":\""10-14-2024 02:31:26+0000\"",\""errorDetail\"":{\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""errorInfos\"":[]}}"""
"2024-10-14T02:31:25.316Z","""sc-03-prod-southeastasia-9e33d8cb-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000002 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:25.315Z","""sc-03-prod-southeastasia-9eebd485-cast000000-sc-03-prod-southeastasia""","""df-service""","REST Error Response - Payload : ""{\""status\"":\""FAILURE\"",\""statusCode\"":400,\""transactionId\"":\""670c827b08c862354e8a0e4f\"",\""responseId\"":\""CSDMDScb891b68dd164f60a4be0ec9743e6b50\"",\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""internalErrorMessage\"":\""No group level item rules for groupLevelId:1000000002 were found in the CDM.\"",\""duration\"":27,\""responseTime\"":\""10-14-2024 02:31:25+0000\"",\""errorDetail\"":{\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""errorInfos\"":[]}}"""
"2024-10-14T02:31:25.159Z","""sc-03-prod-southeastasia-13e68de0-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000002 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:24.877Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000001""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:23.686Z","""sc-03-prod-southeastasia-9e33d8cb-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000002 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:23.122Z","""sc-03-prod-southeastasia-13e68de0-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=categoryId - null, status=ERROR}"
"2024-10-14T02:31:22.716Z","""sc-03-prod-southeastasia-b0e71aa8-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000838777 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:20.725Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000003""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:19.455Z","""sc-03-prod-southeastasia-9908064d-cast000000-sc-03-prod-southeastasia""","""df-service""","REST Error Response - Payload : ""{\""status\"":\""FAILURE\"",\""statusCode\"":400,\""transactionId\"":\""7F5184FC9C41427787625AF8AD3EBD5F-PRD\"",\""responseId\"":\""CSDMDS92e406b0d9074436a0fb0532051c0176\"",\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""internalErrorMessage\"":\""No group level item rules for groupLevelId:1000459400 were found in the CDM.\"",\""duration\"":29,\""responseTime\"":\""10-14-2024 02:31:19+0000\"",\""errorDetail\"":{\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""errorInfos\"":[]}}"""
"2024-10-14T02:31:19.452Z","""sc-03-prod-southeastasia-13e68de0-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000459400 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:18.711Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000002""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:13.779Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000000""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:11.789Z","""sc-03-prod-southeastasia-13e68de0-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000459400 were found in the CDM., status=ERROR}"
"2024-10-14T02:31:11.782Z","""sc-03-prod-southeastasia-272672f0-cast000000-sc-03-prod-southeastasia""","""df-service""","REST Error Response - Payload : ""{\""status\"":\""FAILURE\"",\""statusCode\"":400,\""transactionId\"":\""483703481AC944529161630D3E7F64C8-PRD\"",\""responseId\"":\""CSDMDSefc40aae42ae4d93a69d58069bd9a83b\"",\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""internalErrorMessage\"":\""No group level item rules for groupLevelId:1000459400 were found in the CDM.\"",\""duration\"":28,\""responseTime\"":\""10-14-2024 02:31:11+0000\"",\""errorDetail\"":{\""errorCode\"":\""4044\"",\""errorMessage\"":\""dmds.validation.invalid.selection.error\"",\""errorInfos\"":[]}}"""
"2024-10-14T02:31:09.865Z","""ceaidmds-24-8-16-0-prod-vmss-us-eastus2000001""","""dmds-service""","Unable to create the wallet"
"2024-10-14T02:31:07.752Z","""sc-03-prod-southeastasia-9e33d8cb-cast000000-sc-03-prod-southeastasia""","""dmds-service""","{errorMessage=No group level item rules for groupLevelId:1000000002 were found in the CDM., status=ERROR}"
