Date,Host,Service,transactionId,logTag,Message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14T06:05:45.087Z,"""sc-03-prod-westeurope-c922593a-cast000000-sc-03-prod-westeurope""","""crf-jm-async""","""00BF29ACEDCD4C469744B0AD3BFFCECF""","""CS-INFO-LOG""",NIQSecurityTokenWallet object built for the user/client:angel.garcia@nielseniq.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14T06:05:45.087Z,"""sc-03-prod-westeurope-c922593a-cast000000-sc-03-prod-westeurope""","""crf-jm-async""","""00BF29ACEDCD4C469744B0AD3BFFCECF""","""CS-INFO-LOG""",Validated Id token successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14T06:05:45.087Z,"""sc-03-prod-westeurope-c922593a-cast000000-sc-03-prod-westeurope""","""crf-jm-async""","""00BF29ACEDCD4C469744B0AD3BFFCECF""","""CS-INFO-LOG""",Built the public key and verified the signature of the token,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14T06:05:45.084Z,"""sc-03-prod-westeurope-c922593a-cast000000-sc-03-prod-westeurope""","""crf-jm-async""","""00BF29ACEDCD4C469744B0AD3BFFCECF""","""CS-INFO-LOG""",Started validating tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14T06:05:43.643Z,"""sc-03-prod-westeurope-f5ab01fc-cast000000-sc-03-prod-westeurope""","""bi-services""","""00BF29ACEDCD4C469744B0AD3BFFCECF""","""BI : - removeWorker""",worker removed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14T06:05:43.643Z,"""sc-03-prod-westeurope-f5ab01fc-cast000000-sc-03-prod-westeurope""","""bi-services""","""00BF29ACEDCD4C469744B0AD3BFFCECF""","""BI : - removeWorker""",Current requests handled: 21102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14T06:05:43.642Z,"""sc-03-prod-westeurope-f5ab01fc-cast000000-sc-03-prod-westeurope""","""bi-services""","""00BF29ACEDCD4C469744B0AD3BFFCECF""","""BI : - adjustCapacity""",Current capacity 0/28421052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14T06:05:43.642Z,"""sc-03-prod-westeurope-f5ab01fc-cast000000-sc-03-prod-westeurope""","""bi-services""","""00BF29ACEDCD4C469744B0AD3BFFCECF""","""BI : - removeWorker""",removing worker!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14T06:05:43.642Z,"""sc-03-prod-westeurope-f5ab01fc-cast000000-sc-03-prod-westeurope""","""bi-services""","""00BF29ACEDCD4C469744B0AD3BFFCECF""","""KEY_INFO""","{""logType"":""EVENT"",""dateTime"":""2024-10-14T06:05:43.642+0000"",""hostName"":""bi-asy-prod-24-10-1-29-deployment-69859b8764-jkwdb"",""logTag"":""KEY_INFO"",""EventLogsTotalTime"":140,""transactionId"":""00BF29ACEDCD4C469744B0AD3BFFCECF"",""sourceStackId"":""EU"",""duration"":{""totalTime"":140,""waitTime"":0,""timeUnit"":""MILLISECONDS""},""thread_id"":""19596"",""thread_name"":""ForkJoinPool.commonPool-worker-2183"",""context"":{""datasetId"":""34202"",""datasetStackId"":""EU""},""event"":{""action"":""Request"",""type"":""Metrics""},""sourceApplication"":{""componentCode"":""BIPS"",""appDisplayName"":""Platform API"",""appCode"":""P-API"",""componentDisplayName"":""BI Services""},""user"":{""country"":""Poland"",""organisationName"":""Nielsen Europe"",""organisationId"":""f6c986e32ae587c21be527019ce71218"",""displayName"":""Walczuk Agnieszka"",""emailId"":""walczuk.agnieszka@nielseniq.com"",""userId"":""a187b47f376d7821d33f91f2e2a290a0"",""organisationType"":""Internal_(ACNielsen/VNU)""},""status"":{""error"":false}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14T06:05:43.642Z,"""sc-03-prod-westeurope-f5ab01fc-cast000000-sc-03-prod-westeurope""","""bi-services""","""00BF29ACEDCD4C469744B0AD3BFFCECF""","""BI : - Send Path Pkg to JM, Time Elapsed ""","{""logType"":""APP"",""dateTime"":""2024-10-14T06:05:43.642+0000"",""hostName"":""bi-asy-prod-24-10-1-29-deployment-69859b8764-jkwdb"",""logTag"":""BI : - Send Path Pkg to JM, Time Elapsed "",""thread_id"":""19596"",""logLevel"":""INFO"",""thread_name"":""ForkJoinPool.commonPool-worker-2183"",""sourceApplication"":{""componentCode"":""BI"",""appDisplayName"":""Platform API"",""appCode"":""P-API"",""componentDisplayName"":""BI Services""},""class"":""com.nielseniq.bi.web.service.PackageService"",""value"":0.036,""transactionId"":""00BF29ACEDCD4C469744B0AD3BFFCECF"",""key"":""TIME_TAKEN_TO_HIT_JM""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
